Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"85008, USA",1/1/2012,80,47,63.3,46,,0,,15,,9.9,17.1,36.14,Clear
"85008, USA",1/2/2012,79.1,56.9,66.7,,,0,,17.2,,9.9,1.3,22.38,Clear
"85008, USA",1/3/2012,74.9,53.9,63.1,,,0,,10.3,,9.9,38.3,29.66,Partially cloudy
"85008, USA",1/4/2012,79.1,48.8,62.1,47,,0,,9.2,,9.9,17.5,33.66,Clear
"85008, USA",1/5/2012,77.1,50.1,62,,,0,,12.8,,9.9,29.2,28.54,Partially cloudy
"85008, USA",1/6/2012,73.1,47.9,59.1,44.7,,0,,9.2,,9.9,20,34.58,Clear
"85008, USA",1/7/2012,70.1,47,57.9,43.8,,0,,11.4,,9.9,13.8,36.32,Clear
"85008, USA",1/8/2012,65.9,47,56.5,48,,0,,13.9,,9.9,23.3,27.1,Clear
"85008, USA",1/9/2012,65.9,46.1,55.7,44.9,,0,,5.8,,9.9,47.5,28.2,Partially cloudy
"85008, USA",1/10/2012,65.9,44,55,40,,0,,9.2,,9.9,42.1,37.01,Partially cloudy
"85008, USA",1/11/2012,65,44.9,54,41,,0,,9.2,,9.9,68.3,40.62,Partially cloudy
"85008, USA",1/12/2012,64.1,46.1,54.4,45,,0,,5.8,,9.9,70.4,31.97,Partially cloudy
"85008, USA",1/13/2012,69.2,38,55.5,40.6,,0,,13.9,,9.9,5,18.9,Clear
"85008, USA",1/14/2012,71,44.9,58.2,41.6,,0,,16.1,,9.9,68.8,20.66,Partially cloudy
"85008, USA",1/15/2012,62,53.9,58.4,,,0,,8.1,,9.9,95,32.73,Overcast
"85008, USA",1/16/2012,65.9,53,58.2,,,0,,10.3,,9.9,72.5,55.62,Partially cloudy
"85008, USA",1/17/2012,68.1,47,56.6,44.9,,0,,9.2,,9.9,30.8,52.36,Partially cloudy
"85008, USA",1/18/2012,65.9,44,54.9,40.6,,0,,8.1,,9.9,35,45.92,Partially cloudy
"85008, USA",1/19/2012,69.2,44,56.1,38.9,,0,,9.2,,9.9,15,42.55,Clear
"85008, USA",1/20/2012,70.1,43.1,56.4,40.3,,0,,9.2,,9.9,41.7,38.06,Partially cloudy
"85008, USA",1/21/2012,71,47.9,57.9,44.7,,0,,23,40.3,9.9,64.2,36.95,Partially cloudy
"85008, USA",1/22/2012,62,46.1,54.6,45,,0,,11.4,,9.7,65.4,31.73,Partially cloudy
"85008, USA",1/23/2012,62,42.2,53.5,39.2,,0,,15,,9.9,82.1,37.43,Overcast
"85008, USA",1/24/2012,66.8,46.1,57.4,42.6,,0,,12.8,,9.9,51.7,42.95,Partially cloudy
"85008, USA",1/25/2012,69.2,46.1,58,43.9,,0,,9.2,,9.9,30.4,26.16,Partially cloudy
"85008, USA",1/26/2012,73.1,44.9,58.3,41.7,,0,,8.1,,9.9,16.3,31.63,Clear
"85008, USA",1/27/2012,69.2,47.9,58.5,44.7,,0,,8.1,,9.9,67.5,36.91,Partially cloudy
"85008, USA",1/28/2012,75.8,47,61.7,44.2,,0,,13.9,,9.9,49.2,20.22,Partially cloudy
"85008, USA",1/29/2012,78.2,47,62.6,,,0,,15,,9.9,75,19.17,Partially cloudy
"85008, USA",1/30/2012,73.1,50.1,60.8,,,0,,9.2,,9.9,48.8,26.96,Partially cloudy
"85008, USA",1/31/2012,73.1,51.2,61,,,0,,8.1,,9.9,60,27.85,Partially cloudy
"85008, USA",2/1/2012,74.9,48.8,60.2,48,,0,,9.2,,9.9,60.8,28.95,Partially cloudy
"85008, USA",2/2/2012,68.1,46.1,56.9,42.6,,0,,17.2,,9.9,40,32.66,Partially cloudy
"85008, USA",2/3/2012,65.9,44.9,55.8,41.7,,0,,8.1,,9.9,27.5,35.11,Partially cloudy
"85008, USA",2/4/2012,69.2,46.1,57.2,47,,0,,5.8,,9.9,39.2,31.2,Partially cloudy
"85008, USA",2/5/2012,71,44.9,57.5,42.4,,0,,9.2,,9.9,40.8,30.63,Partially cloudy
"85008, USA",2/6/2012,66.8,47,57.7,44.9,,0,,6.9,,9.9,85,32.3,Overcast
"85008, USA",2/7/2012,73.1,51.2,63.1,,,0,,15,,9.9,92.5,22.94,Overcast
"85008, USA",2/8/2012,73.1,55.1,65,,,0,,6.9,,9.9,87.5,28.02,Overcast
"85008, USA",2/9/2012,75.8,53,64.8,,,0,,10.3,,9.9,33.3,31,Partially cloudy
"85008, USA",2/10/2012,79.1,53,65,,,0,,9.2,,9.9,12.5,29.9,Clear
"85008, USA",2/11/2012,79.1,53,65.7,,,0,,9.2,,9.9,42.9,26.31,Partially cloudy
"85008, USA",2/12/2012,66.8,53.9,60.8,,,0,,15,,9.9,51.7,33.7,Partially cloudy
"85008, USA",2/13/2012,65.9,47.9,58.5,44.2,,0,,11.4,,9.9,66.7,41.56,Partially cloudy
"85008, USA",2/14/2012,60.2,47,54.4,43.6,,0,,16.1,,9.9,78.3,48.46,Overcast
"85008, USA",2/15/2012,64.1,42.2,53.2,37.8,,0,,10.3,,9.9,43.8,51.05,Partially cloudy
"85008, USA",2/16/2012,68.1,44.9,57.2,42.4,,0,,13.9,,9.9,60,38.22,Partially cloudy
"85008, USA",2/17/2012,68.1,48.8,58.4,48,,0,,11.4,,9.9,34.2,44.46,Partially cloudy
"85008, USA",2/18/2012,69.2,44.9,57.6,40.5,,0,,8.1,,9.9,25.4,43.35,Partially cloudy
"85008, USA",2/19/2012,65.9,47,57.5,44.2,,0,,18.3,,9.9,66.7,38.14,Partially cloudy
"85008, USA",2/20/2012,69.2,47,58,44.9,,0,,11.4,,9.9,53.3,33.49,Partially cloudy
"85008, USA",2/21/2012,74,44.9,59.8,43.5,,0,,8.1,,9.9,31.7,25.37,Partially cloudy
"85008, USA",2/22/2012,75.8,47.9,61.9,44.7,,0,,8.1,,9.9,55,21.9,Partially cloudy
"85008, USA",2/23/2012,77.1,50.1,64.1,,,0,,10.3,,9.9,47.9,24.8,Partially cloudy
"85008, USA",2/24/2012,79.1,51.2,65.9,,,0,,6.9,,9.9,12.5,22.51,Clear
"85008, USA",2/25/2012,78.2,52.1,65,,,0,,10.3,,9.9,8.8,21.18,Clear
"85008, USA",2/26/2012,79.1,50.1,65.6,,,0,,9.2,,9.9,30,22.59,Partially cloudy
"85008, USA",2/27/2012,78.2,56,65.1,,,0,,24.2,36.9,9.9,34.2,27.73,Partially cloudy
"85008, USA",2/28/2012,62,48.8,55.1,42.4,,0,,18.3,38,9.9,57.9,38.39,Partially cloudy
"85008, USA",2/29/2012,69.2,44.9,56.6,42.4,,0,,8.1,,9.9,31.7,32.44,Partially cloudy
"85008, USA",3/1/2012,70.1,47,58.5,42.7,,0,,12.8,,9.9,18.8,31.49,Clear
"85008, USA",3/2/2012,68.1,52.1,59.5,,,0,,21.9,36.9,9.9,0,17.99,Clear
"85008, USA",3/3/2012,71,44.9,58.7,41.7,,0,,10.3,,9.9,0,12.66,Clear
